Solicitud_id,Aprobado,Hit_Buro_Huella,Malo,Num_IQ_U3M_PL_Financieras,Edad_cliente,Porcentaje_cuentas_abiertas,Num_IQ_U3M,Num_IQ_U3M_TDC_Banco,MaxMOP_U3M,Saldo_actual_prest_personales,Num_IQ_U3M_Prest_personales,Ingreso_Bruto,Número_ctas_atraso_prest_personales_U3M,Número_ctas_atraso_TdC_U3M,Ctas_ab_U18M_TDC_Banco,Num_ctas_prest_pers,Flag_prest_nómina,Meses_cta_más_antig,Flag_fraude_prest_nomina,Flag_fraude_hipotecario,Flag_quebranto_prest_personal,Entidad_federativa,Tipo_suscripcion,Status,Antigüedad_uso_linea_celular,Gasto_mensual_telefonia,Actividad_usuario,Cambio_SIM_U3M,Variable_37,Gasto_ultimos_60_días,Score_FPD,Rango_dispositivo,Adopcion_tecno,Score_incumplimiento,Tasa_contactacion,Calidad_telefonica,Score_contabilidad_entrante,Score_contabilidad_saliente,Disciplina_tech,Cluster_sucursales
5848767,1,11,0,-2,62,0.105263158,3,-2,5,4330,1,5706.28,1,-2,-2,13,-2,91,-2,-2,0,GRO,PREPAGO,1,48,4,5,0,20,4,419,-1,-1,593,578,754,3,2,36,1
5849204,1,10,0,-2,55,0.333333333,1,-2,9,50867,1,6993.08,0,0,0,8,-2,6,-2,0,-2,EM,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3
5849261,1,1,0,-1,65,-1,-1,-1,-1,-1,-1,6266.09,-1,-1,-1,-1,-1,-1,-1,-1,-1,MICH,PREPAGO,1,65,6,6,0,20,6,356,5,5,613,598,767,2,2,44,3
5849318,1,10,1,2,68,0.5,5,-2,9,161053,3,5655.43,3,0,-2,6,-2,25,-2,-2,0,SLP,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
5849489,1,11,0,1,50,0.555555556,5,1,9,18724,2,3017.24,0,-2,-2,7,-2,7,0,-2,1,EM,PREPAGO,1,29,6,5,0,21,6,449,-1,-1,526,565,712,2,2,51,3
5849660,1,11,0,-2,60,0.25,5,-2,9,5710,1,5836.52,1,0,-2,1,-2,41,-2,0,-2,TAM,PREPAGO,1,46,5,6,0,18,5,408,-1,-1,587,604,784,3,3,89,1
5849679,1,11,0,1,67,0.347826087,3,-2,9,-2,2,40136.32,0,1,-2,13,-2,5,-2,-2,0,COA,POSPAGO,1,92,-1,6,0,20,7,414,-1,-1,639,685,859,3,4,-3,1
5849774,1,11,0,-2,63,0.5,1,-2,3,84655,1,6360.88,1,0,-2,4,-2,4,-2,0,0,CHI,PREPAGO,1,64,6,6,0,19,6,352,-1,-1,598,619,774,3,3,77,3
5849793,1,11,0,4,64,0.100719424,10,-2,9,307397,5,18000,0,3,0,117,-2,1,0,-2,0,OAX,PREPAGO,1,68,6,5,0,19,6,548,-1,-1,606,632,774,3,2,58,2
5849869,1,11,0,-2,61,0.461538462,5,3,1,9844,1,3642.48,0,0,1,1,1,2,-2,-2,-2,NL,PREPAGO,1,85,5,4,2,18,5,483,-1,-1,594,620,783,2,2,65,1
5850135,1,11,0,-2,64,1,4,-2,1,-2,1,5136.25,-2,0,-2,-2,-2,8,-2,-2,-2,TAM,PREPAGO,1,60,4,4,0,21,4,424,1,7,541,592,721,3,2,49,1
5850173,1,10,0,-2,62,0.533333333,17,4,9,87245,1,9308.99,0,0,1,2,-2,2,0,-2,-2,AGS,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
